"AI Commerce","AI Commerce"
"Enable AI Commerce","Enable AI Commerce"
"System Prompt","System Prompt"
"Monthly LLM Budget (USD)","Monthly LLM Budget (USD)"
"LLM Provider","LLM Provider"
"Provider","Provider"
"API Key","API Key"
"Model","Model"
"Max tokens per response","Max tokens per response"
"Temperature","Temperature"
"Channels","Channels"
"Telegram","Telegram"
"Telegram Bot Token","Telegram Bot Token"
"Telegram Webhook Secret","Telegram Webhook Secret"
"WhatsApp via Evolution API","WhatsApp via Evolution API"
"Evolution Instance Name","Evolution Instance Name"
"Evolution API Key","Evolution API Key"
"WhatsApp Cloud API (official)","WhatsApp Cloud API (official)"
"Meta Phone Number ID","Meta Phone Number ID"
"Meta Access Token","Meta Access Token"
"Meta App Secret","Meta App Secret"
"Meta Webhook Verify Token","Meta Webhook Verify Token"
"MCP Server (for Claude Desktop, IDEs, Anthropic clients)","MCP Server (for Claude Desktop, IDEs, Anthropic clients)"
"ACP Endpoints (for ChatGPT / Stripe)","ACP Endpoints (for ChatGPT / Stripe)"
"UCP Integration (Google / Gemini)","UCP Integration (Google / Gemini)"
