"AI Commerce","AI Commerce"
"Enable AI Commerce","Habilitar AI Commerce"
"System Prompt","Prompt do Sistema"
"Monthly LLM Budget (USD)","Orçamento mensal LLM (USD)"
"LLM Provider","Provedor LLM"
"Provider","Provedor"
"API Key","Chave de API"
"Model","Modelo"
"Max tokens per response","Tokens máx por resposta"
"Temperature","Temperatura"
"Channels","Canais"
"Telegram","Telegram"
"Telegram Bot Token","Token do Bot Telegram"
"Telegram Webhook Secret","Secret do Webhook Telegram"
"WhatsApp via Evolution API","WhatsApp via Evolution API"
"Evolution Instance Name","Nome da Instância Evolution"
"Evolution API Key","Chave da API Evolution"
"WhatsApp Cloud API (official)","WhatsApp Cloud API (oficial)"
"Meta Phone Number ID","ID do Número Meta"
"Meta Access Token","Token de Acesso Meta"
"Meta App Secret","App Secret do Meta"
"Meta Webhook Verify Token","Verify Token do Webhook Meta"
"MCP Server (for Claude Desktop, IDEs, Anthropic clients)","Servidor MCP (Claude Desktop, IDEs, clientes Anthropic)"
"ACP Endpoints (for ChatGPT / Stripe)","Endpoints ACP (ChatGPT / Stripe)"
"UCP Integration (Google / Gemini)","Integração UCP (Google / Gemini)"
"AI Commerce is disabled for this store.","AI Commerce está desabilitado para esta loja."
"Anthropic API key not configured.","Chave de API Anthropic não configurada."
